trace_seed,repeat_index,paired_key,candidate,reference,prompt_class,metric,run_statistic,candidate_ms,reference_ms,delta_ms,delta_percent
101,1,seed101-rep1,aged_short_prompt,baseline,overall,ttft_ms,median,62.990209,69.933176,-6.942967000000003,-9.92800183992788
101,1,seed101-rep1,aged_short_prompt,baseline,overall,queue_wait_ms,mean,41.91295616666667,50.877229283333335,-8.964273116666668,-17.619420795784645
101,1,seed101-rep1,aged_short_prompt,baseline,overall,queue_wait_ms,median,25.832743999999998,27.700849,-1.8681050000000035,-6.743854673912714
101,1,seed101-rep1,aged_short_prompt,baseline,overall,e2e_latency_ms,mean,8915.704296783333,9244.650250383333,-328.9459535999995,-3.558230378551743
101,1,seed101-rep1,aged_short_prompt,baseline,overall,e2e_latency_ms,median,9006.045106500002,9361.094243,-355.049136499998,-3.7928166011734703
101,1,seed101-rep1,aged_short_prompt,baseline,short,ttft_ms,mean,43.30867695,73.30711915,-29.998442200000007,-40.9215947207223
101,1,seed101-rep1,aged_short_prompt,baseline,short,ttft_ms,median,38.656969000000004,70.322847,-31.665877999999992,-45.029288987688446
101,1,seed101-rep1,aged_short_prompt,baseline,short,queue_wait_ms,mean,7.79675445,33.8777227,-26.080968249999998,-76.98560048134522
101,1,seed101-rep1,aged_short_prompt,baseline,short,queue_wait_ms,median,0.033164,28.433999,-28.400835,-99.88336498147869
101,1,seed101-rep1,aged_short_prompt,baseline,short,e2e_latency_ms,mean,8609.69800385,9180.775477300002,-571.077473450001,-6.220362047432954
101,1,seed101-rep1,aged_short_prompt,baseline,short,e2e_latency_ms,median,8495.8916535,8827.431489999999,-331.5398364999983,-3.755790536302404
101,1,seed101-rep1,aged_short_prompt,baseline,medium,ttft_ms,mean,76.29514215,106.04565434999999,-29.75051219999999,-28.0544378573114
101,1,seed101-rep1,aged_short_prompt,baseline,medium,ttft_ms,median,63.31633600000001,61.7469925,1.5693435000000093,2.5415707493769992
101,1,seed101-rep1,aged_short_prompt,baseline,medium,queue_wait_ms,mean,38.70340085,67.83589045,-29.132489599999992,-42.94554019523451
101,1,seed101-rep1,aged_short_prompt,baseline,medium,queue_wait_ms,median,26.2270625,26.5689505,-0.34188800000000086,-1.2867952763132322
101,1,seed101-rep1,aged_short_prompt,baseline,medium,e2e_latency_ms,mean,10436.823484550001,10842.9215368,-406.09805224999945,-3.745282587093667
101,1,seed101-rep1,aged_short_prompt,baseline,medium,e2e_latency_ms,median,9924.596548,10329.755765999998,-405.1592179999989,-3.92225360577803
101,1,seed101-rep1,aged_short_prompt,baseline,long,ttft_ms,mean,117.48205914999998,89.92352589999999,27.558533249999996,30.64663331890103
101,1,seed101-rep1,aged_short_prompt,baseline,long,ttft_ms,median,90.6767365,70.3222375,20.354499000000004,28.94461229280426
101,1,seed101-rep1,aged_short_prompt,baseline,long,ttft_ms,p90,100.271791,100.16588,0.10591099999999187,0.10573560577712877
101,1,seed101-rep1,aged_short_prompt,baseline,long,ttft_ms,p95,105.1707,101.289716,3.880983999999998,3.831567658852946
101,1,seed101-rep1,aged_short_prompt,baseline,long,ttft_ms,max,722.269024,515.852819,206.416205,40.014554035033775
101,1,seed101-rep1,aged_short_prompt,baseline,long,queue_wait_ms,mean,79.2387132,50.9180747,28.32063850000001,55.62001051072736
101,1,seed101-rep1,aged_short_prompt,baseline,long,queue_wait_ms,median,51.724402,29.552088,22.172313999999997,75.02791004141567
101,1,seed101-rep1,aged_short_prompt,baseline,long,queue_wait_ms,p90,57.713077,58.450984,-0.7379069999999999,-1.262437258541276
101,1,seed101-rep1,aged_short_prompt,baseline,long,queue_wait_ms,p95,62.654592,61.537067,1.1175250000000005,1.8160192782668705
101,1,seed101-rep1,aged_short_prompt,baseline,long,queue_wait_ms,max,681.259765,479.652812,201.60695300000003,42.031850529420026
101,1,seed101-rep1,aged_short_prompt,baseline,long,e2e_latency_ms,mean,7700.5914019500005,7710.2537370499995,-9.662335099998927,-0.12531799120395495
101,1,seed101-rep1,aged_short_prompt,baseline,long,e2e_latency_ms,median,7210.684157,7105.2474645,105.43669249999948,1.4839270979201442
101,1,seed101-rep1,aged_short_prompt,baseline,long,e2e_latency_ms,p90,13319.0279,13137.685876,181.34202399999958,1.3803193782496828
101,1,seed101-rep1,aged_short_prompt,baseline,long,e2e_latency_ms,p95,14771.306243,14926.807575,-155.50133199999982,-1.0417588035397436
101,1,seed101-rep1,aged_short_prompt,baseline,long,e2e_latency_ms,max,16218.605756,16412.444748,-193.83899200000087,-1.1810488624713988
101,1,seed101-rep1,aged_short_prompt,short_prompt,overall,ttft_ms,mean,79.02862608333334,78.00052353333334,1.0281025499999998,1.3180713454578836
101,1,seed101-rep1,aged_short_prompt,short_prompt,overall,ttft_ms,median,62.990209,60.5564785,2.433730500000003,4.0189432415559025
101,1,seed101-rep1,aged_short_prompt,short_prompt,overall,queue_wait_ms,mean,41.91295616666667,42.025370583333334,-0.11241441666666674,-0.2674917915209264
101,1,seed101-rep1,aged_short_prompt,short_prompt,overall,queue_wait_ms,median,25.832743999999998,26.038045,-0.20530100000000218,-0.7884654934731167
101,1,seed101-rep1,aged_short_prompt,short_prompt,overall,e2e_latency_ms,mean,8915.704296783333,8937.909539999999,-22.20524321666562,-0.2484388896227923
101,1,seed101-rep1,aged_short_prompt,short_prompt,overall,e2e_latency_ms,median,9006.045106500002,9059.885308500001,-53.84020199999941,-0.5942702381616954
101,1,seed101-rep1,aged_short_prompt,short_prompt,short,ttft_ms,mean,43.30867695,45.1643816,-1.8557046499999998,-4.108779051676421
101,1,seed101-rep1,aged_short_prompt,short_prompt,short,ttft_ms,median,38.656969000000004,40.621077,-1.964107999999996,-4.835194300732096
101,1,seed101-rep1,aged_short_prompt,short_prompt,short,queue_wait_ms,mean,7.79675445,7.63645345,0.16030099999999958,2.099155073092203
101,1,seed101-rep1,aged_short_prompt,short_prompt,short,queue_wait_ms,median,0.033164,0.028228,0.004935999999999999,17.4861839308488
101,1,seed101-rep1,aged_short_prompt,short_prompt,short,e2e_latency_ms,mean,8609.69800385,8637.3926478,-27.694643949998863,-0.3206366212499656
101,1,seed101-rep1,aged_short_prompt,short_prompt,short,e2e_latency_ms,median,8495.8916535,8530.337779500001,-34.44612600000073,-0.403807292165865
101,1,seed101-rep1,aged_short_prompt,short_prompt,medium,ttft_ms,mean,76.29514215,74.81966165,1.4754805000000033,1.9720491478592557
101,1,seed101-rep1,aged_short_prompt,short_prompt,medium,ttft_ms,median,63.31633600000001,60.426216,2.8901200000000102,4.782890922708135
101,1,seed101-rep1,aged_short_prompt,short_prompt,medium,queue_wait_ms,mean,38.70340085,39.5187514,-0.815350549999998,-2.063199167775321
101,1,seed101-rep1,aged_short_prompt,short_prompt,medium,queue_wait_ms,median,26.2270625,26.305155499999998,-0.07809299999999908,-0.29687336385446983
101,1,seed101-rep1,aged_short_prompt,short_prompt,medium,e2e_latency_ms,mean,10436.823484550001,10448.95819245,-12.13470789999883,-0.11613318453859721
101,1,seed101-rep1,aged_short_prompt,short_prompt,medium,e2e_latency_ms,median,9924.596548,9978.6717015,-54.07515349999994,-0.5419073311317711
101,1,seed101-rep1,aged_short_prompt,short_prompt,long,ttft_ms,mean,117.48205914999998,114.01752735,3.464531799999989,3.038595802349672
101,1,seed101-rep1,aged_short_prompt,short_prompt,long,ttft_ms,median,90.6767365,86.713612,3.9631245000000064,4.570360302832278
101,1,seed101-rep1,aged_short_prompt,short_prompt,long,ttft_ms,p90,100.271791,96.393223,3.878567999999987,4.023693657385008
101,1,seed101-rep1,aged_short_prompt,short_prompt,long,ttft_ms,p95,105.1707,103.16457,2.006129999999999,1.9445920241803933
101,1,seed101-rep1,aged_short_prompt,short_prompt,long,ttft_ms,max,722.269024,722.970074,-0.7010500000000093,-0.09696805237335582
101,1,seed101-rep1,aged_short_prompt,short_prompt,long,queue_wait_ms,mean,79.2387132,78.9209069,0.3178063000000009,0.40268961987815277
101,1,seed101-rep1,aged_short_prompt,short_prompt,long,queue_wait_ms,median,51.724402,52.152158,-0.42775600000000225,-0.8202076700258545
101,1,seed101-rep1,aged_short_prompt,short_prompt,long,queue_wait_ms,p90,57.713077,56.191065,1.5220119999999966,2.708637040426261
101,1,seed101-rep1,aged_short_prompt,short_prompt,long,queue_wait_ms,p95,62.654592,56.451671,6.2029210000000035,10.988020177471812
101,1,seed101-rep1,aged_short_prompt,short_prompt,long,queue_wait_ms,max,681.259765,682.161225,-0.9014599999999291,-0.13214764588824718
101,1,seed101-rep1,aged_short_prompt,short_prompt,long,e2e_latency_ms,mean,7700.5914019500005,7727.377779750001,-26.786377800000082,-0.34664252950328367
